,Company,NAICS_CODE,NAICS_TITLE
0,Alibaba,561990,All Other Support Services
1,Alibaba,56199,All Other Support Services
2,Alibaba,5619,Other Support Services
3,Alibaba,561,Administrative and Support Services
4,Alibaba,56,Administrative and Support and Waste Management and Remediation Services
5,Microsoft,511210,Software Publishers
6,Microsoft,51121,Software Publishers
7,Microsoft,5112,Software Publishers
8,Microsoft,511,Publishing Industries (except Internet)
9,Microsoft,51,Information
10,Ebay,561990,All Other Support Services
11,Ebay,56199,All Other Support Services
12,Ebay,5619,Other Support Services
13,Ebay,561,Administrative and Support Services
14,Ebay,56,Administrative and Support and Waste Management and Remediation Services
